answer_id,document_id,question_id,text,answer_start,answer_end,answer_category,question,file_name,context
954715,1586813,1066321,first-class,62,73,,What classis required to take admission to Ph.D. Management?,,Master�s Degree in an appropriate branch of Management with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954717,1586813,1066322,60% marks,85,94,,What is the minimum mark required to take admission to Ph.D. Management?,,Master�s Degree in an appropriate branch of Management with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954718,1586813,1066323,6.5 on a 10-point scale,107,130,,What CGPA is required to take admission to Ph.D. Management?,,Master�s Degree in an appropriate branch of Management with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954723,1586814,1066325,70 % of marks,117,130,,What is the minimum mark required to take admission to Ph.D. Technology after B.Tech?,,"Bachelor�s degree in Technology or equivalent in any discipline with a minimum CGPA of 7.5 out of 10 or a minimum of 70 % of marks. Candidates must have a valid GATE score to avail of an institute fellowship. However, candidates having industrial experience (PSU/MNC, Govt. undertaking) of at least five years may be exempted from mandatory valid GATE scores. Final year students are also eligible to apply, provided at the time o"
954724,1586814,1066326,7.5 out of 10,87,100,,What CGPA is required to take admission to Ph.D. Technology after B.Tech?,,"Bachelor�s degree in Technology or equivalent in any discipline with a minimum CGPA of 7.5 out of 10 or a minimum of 70 % of marks. Candidates must have a valid GATE score to avail of an institute fellowship. However, candidates having industrial experience (PSU/MNC, Govt. undertaking) of at least five years may be exempted from mandatory valid GATE scores. Final year students are also eligible to"
954696,1586810,1066303,60% marks,161,170,,What is the minimum mark required to take admission to Ph.D. Technology?,,Master�s Degree in Technology in the relevant area of research along with a Bachelor�s Degree in an appropriate branch of Technology with first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) at Master�s and Bachelor�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954757,1586814,1066330," industrial experience (PSU/MNC, Govt. undertaking)",235,286,,Who is exempted from the GATE score to take admission to Ph.D. Technology after B.Tech?,,"Bachelor�s degree in Technology or equivalent in any discipline with a minimum CGPA of 7.5 out of 10 or a minimum of 70 % of marks. Candidates must have a valid GATE score to avail of an institute fellowship. However, candidates having industrial experience (PSU/MNC, Govt. undertaking) of at least five years may be exempted from mandatory valid GATE scores. Final year students are also eligible to apply, provided at the time of admission he/she should produce a final grade card failing which his/her admission will stand canceled."
954698,1586810,1066305,6.5 on a 10-point scale,183,206,,What CGPA is required to take admission to Ph.D. Technology?,,Master�s Degree in Technology in the relevant area of research along with a Bachelor�s Degree in an appropriate branch of Technology with first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) at Master�s and Bachelor�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954819,1586816,1066342, 60% marks,432,442,,What is the minimum mark required for Foreign National candidates in Ph.D.?,,"ural Relations, Govt. of India, are eligible to apply provided that they possess the same minimum qualifications as Master�s Degree in Engineering/Technology in the relevant area of research along with a Bachelor�s Degree in an appropriate branch of Engineering/Technology with first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) at Master�s and Bachelor�s level. Master�s Degree in an appropriate branch of Science/Humanities/Social Sciences/Management with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. "
954774,1586815,1066335,first-class,67,78,,What class is required to take admission to Ph.D. Social Sciences?,,Master�s Degree in an appropriate branch of Social Sciences with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954776,1586815,1066336,60% marks,90,99,,What is the minimum mark required to take admission to Ph.D. Social Sciences?,,Master�s Degree in an appropriate branch of Social Sciences with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954780,1586815,1066337,6.5 on a 10-point scale,112,135,,What CGPA is required to take admission to Ph.D. Social Sciences?,,Master�s Degree in an appropriate branch of Social Sciences with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Relaxation in minimum Percentage/Equivalent grade Point requirements will be given as per the National Reservation Policy of Govt. of India.
954840,1586816,1066343, 6.5 on a 10-point scale,454,478,,What is the minimum CGPA required for Foreign National candidates in Ph.D.?,,"of India, are eligible to apply provided that they possess the same minimum qualifications as Master�s Degree in Engineering/Technology in the relevant area of research along with a Bachelor�s Degree in an appropriate branch of Engineering/Technology with first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) at Master�s and Bachelor�s level. Master�s Degree in an appropriate branch of Science/Humanities/Social Sciences/Management with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Bachelor�s degree in Engineering or "
954923,1586818,1066352,"joined under an Institute fellowship/fellowship received from agencies like CSIR, UGC, etc.",30,121,,Who are Full-Time Candidates?,,"Full-Time candidates who have joined under an Institute fellowship/fellowship received from agencies like CSIR, UGC, etc."
954925,1586819,1066353,twice a year,85,97,,How many times Ph.D. advertisement is invited?,,Applications in the prescribed format for admission to Ph. D program will be invited twice a year through advertisement in the national dailies/media and on Institute�s website. The advertisement shall include the predetermined seats/research area and as per the guidelines of reservation policy of Govt. of India. The candidates who desire to apply in more than one department/ category shall be 
954855,1586816,1066344,7.5 out of 10,844,857,,What is the minimum CGPA required for Foreign National candidates in Ph.D. after B.Tech.?,,"in an appropriate branch of Science/Humanities/Social Sciences/Management with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalent at Master�s level. Bachelor�s degree in Engineering or Technology or equivalent in any discipline with a minimum CGPA of 7.5 out of 10 or a minimum of 70 % of marks. Candidates must have a valid GATE score to avail of an institute fellowship. However, candidates having industrial experience (PSU/MNC, Govt. undertaking) of at least five years may be exempted from mandatory valid GATE scores. Final year students are also eligible to"
955006,1586823,1066388,through an Entrance Test followed by an interview ,78,128,,How is a candidate selected for Ph.D. Programme? ,,"All the candidates to Ph.D. Programme (Full Time/Part Time) shall be admitted through an Entrance Test followed by an interview to be organized by the respective department as the case may be. The syllabus for the same will be notified on the Institute website. At the time of the interview, candidates are expected to discuss their research interest/area of interest."
954958,1586819,1066362,1-2 pages,531,540,,How many pages will be the write-up of?,,ts/research area and as per the guidelines of reservation policy of Govt. of India. The candidates who desire to apply in more than one department/ category shall be required to apply on separate application forms along with the appropriate fee. The candidate shall be required to submit a write-up (1-2 pages) of his/her proposed area of research along with the application.
954973,1586820,1066367,at least 36 months from the date of first registration,218,272,,How many days Sponsored candidates have to stay?,,"Sponsored candidates from industry, corporate, any Govt. organization, and faculty of recognized Institutes sponsored by the respective employer of the candidate. The candidate must have to reside in the Institute for at least 36 months from the date of first registration."
955011,1586824,1066390,monthly ,42,50,,When fellowship will be received?,,"Candidates are allowed to receive revised monthly fellowship as per Government and Institute norms subjected to availability of funds, a maximum of upto five years."
954982,1586821,1066371,Head of the Department and three faculty members,40,88,,Who are the members of Screening Committee?,,"A Screening Committee will comprise the Head of the Department and three faculty members (co-opted by HoD from the department). The committee is expected to verify the eligibility of the applicant (s) for the Entrance Test/Interview based on his/her details mentioned in the application (s) and the documents enclosed. After the screening of all applications, the Head of the Department s"
954986,1586821,1066374,details mentioned in the application (s) and the documents enclosed,250,317,,How to verify the eligibility of applicant?,,"A Screening Committee will comprise the Head of the Department and three faculty members (co-opted by HoD from the department). The committee is expected to verify the eligibility of the applicant (s) for the Entrance Test/Interview based on his/her details mentioned in the application (s) and the documents enclosed. After the screening of all applications, the Head of the Department shall publish the list of eligible/shortlisted candidates for written and/or Interviews through appropriate means."
955013,1586825,1066392,UGC/CSIR/NET/GATE qualified candidates,147,185,,Who will get preference in the interview?,,"Candidates, who fulfill the minimum eligibility criteria of the Entrance Test, shall be called for interview. The preference shall be given to the UGC/CSIR/NET/GATE qualified candidates. The final selection will be preferably based on the performance of the written test, interview, and UGC/CSIR/NET/GATE score."
955016,1586826,1066395, completion two years from the date of registration,5,56,,When JRF is converted to SRF?,,"After completion two years from the date of registration, the candidate may be converted from JRF to SRF subject to the fulfillment of the following criteria. 1. The candidate has to apply in the Academic section for SRF through Supervisor(s) and HoD. 2. Minimum of one SSCI/SCOPUS/SCI/SCIE indexed Journal publication/accepted or one granted Patent is req"
954993,1586822,1066380,who will qualify Entrance Test,24,54,,Who is eligible for an interview before DRC?,,The eligible candidates who will qualify Entrance Test shall have to appear before Departmental Research Committee (DRC) for an interview. The Departmental Research Committee (DRC) shall comprise of: I Dean (Academic) / Nominee � Chairman. II DIC (R&D) � Member. III HoD � Member cum Convenor. IV All faculty members of the concerned department. Keeping 
954996,1586822,1066382,Departmental Research Committee,143,174,,What is DRC?,,"The eligible candidates who will qualify Entrance Test shall have to appear before Departmental Research Committee (DRC) for an interview. The Departmental Research Committee (DRC) shall comprise of: I Dean (Academic) / Nominee � Chairman. II DIC (R&D) � Member. III HoD � Member cum Convenor. IV All faculty members of the concerned department. Keeping in view the available seats, the Interview Committee shall recommend the names of candidates found suitable for admissio"
955085,1586831,1066422,30 days in a year,203,220,,How many numbers of leave is there?,,"The PS is required to apply to the concerned HOD through Supervisor for leave stating the reasons why they are not in a position to attend classes/perform thesis work. All PS are eligible for a leave of 30 days in a year (January to December) @ 15 days per semester. The intervening holidays will be treated as part of leave with the provision of suffixing and prefixing holidays. In no way, the leave rules would affect the attendance requirements for the PS. All PS shall be allowed to leave the station for visiting o"
955098,1586831,1066428,after completion of their course work or during vacations,543,600,,When shall PS allow to leave the station?,,"@ 15 days per semester. The intervening holidays will be treated as part of leave with the provision of suffixing and prefixing holidays. In no way, the leave rules would affect the attendance requirements for the PS. All PS shall be allowed to leave the station for visiting other places preferably after completion of their course work or during vacations when there is no teaching work scheduled, if recommended by Supervisor (s) and HOD, and approved by Dean Academic well in advance for various purposes like library consultation, meeting experts, presentation of research papers/participation in the conferences/short term courses/symposiums, etc., ge"
955036,1586826,1066401,SSCI/SCOPUS/SCI/SCIE indexed ,270,299,,Which type of journal publication is required for converting JRF to SRF?,,"After completion two years from the date of registration, the candidate may be converted from JRF to SRF subject to the fulfillment of the following criteria. 1. The candidate has to apply in the Academic section for SRF through Supervisor(s) and HoD. 2. Minimum of one SSCI/SCOPUS/SCI/SCIE indexed Journal publication/accepted or one granted Patent is required. 3. The candidate has to appear for a progress seminar. For that, a committee has to be formed with an external member by the Supervisor(s) through the respective HoD for evaluation of the progress of the Junior Research Fellow (JRF) for"
955102,1586832,1066431,135 days,34,42,,How many days in Maternity Leave?,,The woman PS will be eligible for 135 days of Maternity Leave with Assistantship or 15 days of paternity leave as applicable only once during the Ph.D. program.
955039,1586826,1066404,Minimum of one,255,269,,How many journals is required for converting JRF to SRF?,,"After completion two years from the date of registration, the candidate may be converted from JRF to SRF subject to the fulfillment of the following criteria. 1. The candidate has to apply in the Academic section for SRF through Supervisor(s) and HoD. 2. Minimum of one SSCI/SCOPUS/SCI/SCIE indexed Journal publication/accepted or one granted Patent is required. 3. The candidate has to appear for a progress seminar. For that, a committee has to be formed with an external member by the Supervisor(s) through the respective HoD for evaluation of the progress of the Ju"
955042,1586827,1066405,PhD Scholar,214,225,,Who is PS?,,"Candidates, whose selection is recommended by the DRC and approved by Chairman Senate, shall be offered admission and advised to deposit the prescribed fee. After depositing the fee, he/she shall be designated as �PhD Scholar (PS)�. For all purposes, the date of registration of a PS shall be the date on which he/she has deposited the fee in the institute. After registration, Research Advisory Committees (RACs) for the individual PS shall be constituted by the concerned Head of the Department in consultation with the Sup"
955106,1586832,1066433,15 days,84,91,,How many days on paternity leave?,,The woman PS will be eligible for 135 days of Maternity Leave with Assistantship or 15 days of paternity leave as applicable only once during the Ph.D. program.
955046,1586828,1066407,CGPA = 6.5 (minimum).,227,248,,What are the pass marks of coursework?,,Every Internal/External Ph.D. Scholar (Full Time/Part Time) admitted under Ph.D. Program is required to pass the theory courses approved by the RAC/DRC (for a minimum of 12 credits (P.G.) and 18 credits (B.E./B.Tech)) securing CGPA = 6.5 (minimum).
955154,1586834,1066452,48 months,219,228,,What is the minimum period of the residential requirement for study and research for B.E./ B. Tech students?,,"For a regular PS under scholarship, the minimum period of the residential requirement for study and research at the institute from the date of registration to the date of submission of the thesis shall be 36 months and 48 months (for B.E./ B. Tech). During this residential requirement, the PS (s) shall report to his/her supervisor (s) from the department where he/she is registered. The PS is allowed to leave the station to visit other libraries/ laboratories/industries etc. For consultation/experimentation/ data collection"
955054,1586828,1066409,12 credits,170,180,,What are the minimum credit points of coursework for P.G.?,,Every Internal/External Ph.D. Scholar (Full Time/Part Time) admitted under Ph.D. Program is required to pass the theory courses approved by the RAC/DRC (for a minimum of 12 credits (P.G.) and 18 credits (B.E./B.Tech)) securing CGPA = 6.5 (minimum).
955056,1586828,1066410,18 credits,192,202,,What are the minimum credit points of coursework for B.E./B.Tech.?,,Every Internal/External Ph.D. Scholar (Full Time/Part Time) admitted under Ph.D. Program is required to pass the theory courses approved by the RAC/DRC (for a minimum of 12 credits (P.G.) and 18 credits (B.E./B.Tech)) securing CGPA = 6.5 (minimum).
955057,1586829,1066412,Research Methodology,42,62,,Which subject must include in coursework? ,,"The coursework must include one course of Research Methodology and the rest of the courses may be taken as per the recommendations of RAC. Total courses have to be completed within one year (first two consecutive semesters). If a candidate fails to complete the coursework in the first two semesters, the RAC may recommend an extension of one more semester with "
955059,1586829,1066413,within one year,174,189,,What is the time for completion of coursework?,,"The coursework must include one course of Research Methodology and the rest of the courses may be taken as per the recommendations of RAC. Total courses have to be completed within one year (first two consecutive semesters). If a candidate fails to complete the coursework in the first two semesters, the RAC may recommend an extension of one more semester with proper justification. Ph.D. Scholars with B.E./B. Tech degree has to complete the coursework within the first three semesters. "
955064,1586830,1066417,75% attendance,24,38,,What percentage of attendance is mandatory?,,The PS having less than 75% attendance will not be allowed to sit for the end-semester examination.
955184,1586837,1066465,11-point,919,927,,What is the font size of the state-of-the-art document?,,"onclusions g) List of most appropriate references II. The title page should contain the proposed title of the research, name, and roll number of the PS, name (s) of the supervisor (s), department, institute, month, and year of submission. III. It should be typed on an A4 size paper, Times New Roman 11-point font size, preferably at 1.5 line spacing with a 30 mm margin on the left and 25.4 mm margin on the right, top, and bottom. IV. The Major Headings as given in S. No. I. Above shall be in bold block capitals having a 12-point font size. The Subheadings (if any) shall be in bold title case."
955186,1586837,1066466,Times New Roman,903,918,,What is the font style of the state-of-the-art document?,,"cating time f) Conclusions g) List of most appropriate references II. The title page should contain the proposed title of the research, name, and roll number of the PS, name (s) of the supervisor (s), department, institute, month, and year of submission. III. It should be typed on an A4 size paper, Times New Roman 11-point font size, preferably at 1.5 line spacing with a 30 mm margin on the left and 25.4 mm margin on the right, top, and bottom. IV. The Major Headings as given in S. No. I. Above shall be in bold block capitals having a 12-point font size. The Subheadings (if any) shall be in bold title case."
955199,1586837,1066473,12-point,1144,1152,,What is the font size of Major Headings of state-of-the-art document?,,"f submission. III. It should be typed on an A4 size paper, Times New Roman 11-point font size, preferably at 1.5 line spacing with a 30 mm margin on the left and 25.4 mm margin on the right, top, and bottom. IV. The Major Headings as given in S. No. I. Above shall be in bold block capitals having a 12-point font size. The Subheadings (if any) shall be in bold title case."
955206,1586838,1066475, i. Abstract ii. Introduction and objectives iii. Methodology iv. Results and discussions v. Conclusions and Future scope vi. References.,68,205,,What are the outlines of Ph.D. synopsis?,,Ph.D. synopsis should be submitted preferably in the given outlines: i. Abstract ii. Introduction and objectives iii. Methodology iv. Results and discussions v. Conclusions and Future scope vi. References.
955156,1586834,1066455,other libraries/ laboratories/industries etc,433,477,,Which places allow to visit for PS?,,"e date of registration to the date of submission of the thesis shall be 36 months and 48 months (for B.E./ B. Tech). During this residential requirement, the PS (s) shall report to his/her supervisor (s) from the department where he/she is registered. The PS is allowed to leave the station to visit other libraries/ laboratories/industries etc. For consultation/experimentation/ data collection/ attend a conference/ present a paper in a conference/symposium after due permission from his/her supervisor (s) and approval of the concerned Head of Department."
955159,1586835,1066456,after the completion of coursework,54,88,,When shall a comprehensive examination of the PS be held?,,"The comprehensive examination of the PS shall be held after the completion of coursework prescribed by the RAC/DRC. The chairperson, RAC should conduct the examination (written and or oral) within the first 15 (fifteen) months from the date of registration of PS. The syllabus of the comprehensive examination is based on any three courses recommended by the RAC/DRC. If PS fails the exam"
955166,1586835,1066459,any three courses recommended by the RAC/DRC,322,366,,What is the syllabus of the comprehensive examination?,,"ination of the PS shall be held after the completion of coursework prescribed by the RAC/DRC. The chairperson, RAC should conduct the examination (written and or oral) within the first 15 (fifteen) months from the date of registration of PS. The syllabus of the comprehensive examination is based on any three courses recommended by the RAC/DRC. If PS fails the exam on the first try, he or she may be allowed another chance within two months. PS's registration with the Institute will be terminated if he/she fails the exam on his/her second attempt as well."
955233,1586839,1066486,in front of DRC,114,129,,Where the progress seminar needs to give?,,"After successful completion of a state-of-the-art seminar, a PS is required to give at least one progress seminar in front of DRC in every academic year till his/her Pre-submission Seminar/submission of synopsis. A consolidated report needs to be submitted to the academic office when the progress seminar is finished."
955173,1586836,1066461,maximum of 20 pages,365,384,,How many pages will be the synopsis of?,,"t & parcel of the Ph.D. Programme, PS can give an open house presentation (Synopsis) after the due recommendation of RAC. In this regard, a notification may be issued by Dean (Academic) to the concerned HoD for further necessary action. Before the presentation, he/she will submit the synopsis copy (maximum of 20 pages) 10 days before the presentation to the RAC through Supervisor. If the RAC is satisfied with the performance of PS, he/she is required to submit the final synopsis (2 copies) of his/her research work to the academic cell. The maximum duration allowed to PS for synopsis presentation is preferably 25"
955176,1586836,1066462,2 copies,550,558,,How many numbers of final synopsis copies need to be submitted?,," to the concerned HoD for further necessary action. Before the presentation, he/she will submit the synopsis copy (maximum of 20 pages) 10 days before the presentation to the RAC through Supervisor. If the RAC is satisfied with the performance of PS, he/she is required to submit the final synopsis (2 copies) of his/her research work to the academic cell. The maximum duration allowed to PS for synopsis presentation is preferably 25 minutes. If RAC is not satisfied with the synopsis presentation, then he/she can give the presentation again after six months."
955242,1586837,1066489,1.5 line spacing,953,969,,What is the line spacing of the state-of-the-art document?,,"iate references II. The title page should contain the proposed title of the research, name, and roll number of the PS, name (s) of the supervisor (s), department, institute, month, and year of submission. III. It should be typed on an A4 size paper, Times New Roman 11-point font size, preferably at 1.5 line spacing with a 30 mm margin on the left and 25.4 mm margin on the right, top, and bottom. IV. The Major Headings as given in S. No. I. Above shall be in bold block capitals having a 12-point font size. The Subheadings (if any) shall be in bold title case."
955247,1586840,1066490,two research publications,62,87,,How many research publications required for submitting a thesis?,,"For submitting a thesis or presenting a synopsis PS must have two research publications linked to his or her thesis published or accepted in a SSCI/SCI/SCIE/SCOPUS/SSCI journal, one of which must be in an SSCI/SCI/SCIE journal or one granted patent. In all publications relating to his or her research, PS must be the first author."
955251,1586841,1066491,English ,32,40,,In what language thesis should be written?,,"The thesis should be written in English in a format, which may include preferably the following sections: i. Abstract ii. Introduction and objectives iii. Literature review iv. Methodology (as applicable) v. Results and discussions vi. Conclusions and Future Scope vii. References"
955252,1586842,1066492,within 90 days from the date of synopsis presentation,92,145,,When PS allow to submit his/her thesis?,,"On the recommendations of RAC, the Dean (Academic) may allow a PS to submit his/her thesis (within 90 days from the date of synopsis presentation) and final synopsis copy (after 10 days of synopsis presentation). Under no circumstances thesis submission beyond 90 days from the date of synopsis presentation is allowed. PS must reappear for the synopsis if he/she fails to submit the thesis within 90 days from the date of the synopsis presentat"
955253,1586842,1066493,after 10 days of synopsis presentation,172,210,,When PS allow to submit his/her final synopsis copy?,,"On the recommendations of RAC, the Dean (Academic) may allow a PS to submit his/her thesis (within 90 days from the date of synopsis presentation) and final synopsis copy (after 10 days of synopsis presentation). Under no circumstances thesis submission beyond 90 days from the date of synopsis presentation is allowed. PS must reappear for the synopsis if he/she fails to submit the thesis within 90 days from the date of the synopsis presentation. The PS is required to submit three copies of the Ph.D. thesi"
955256,1586842,1066494,three copies,479,491,,How many copies of thesis need to submit?,,0 days of synopsis presentation). Under no circumstances thesis submission beyond 90 days from the date of synopsis presentation is allowed. PS must reappear for the synopsis if he/she fails to submit the thesis within 90 days from the date of the synopsis presentation. The PS is required to submit three copies of the Ph.D. thesis (spiral bound) and one electronic copy to the Office of Dean (Academic) through his/her supervisor (S) and the concerned HOD provided he/she has already submitted his/her synopsis.
955479,1586842,1066495,through his/her supervisor (S) and the concerned HOD,584,636,,In which way thesis copy will be submit?,,f synopsis presentation is allowed. PS must reappear for the synopsis if he/she fails to submit the thesis within 90 days from the date of the synopsis presentation. The PS is required to submit three copies of the Ph.D. thesis (spiral bound) and one electronic copy to the Office of Dean (Academic) through his/her supervisor (S) and the concerned HOD provided he/she has already submitted his/her synopsis.
955483,1586814,1066331,at least five years,290,309,,How many years of industrial experience?,,"Bachelor�s degree in Technology or equivalent in any discipline with a minimum CGPA of 7.5 out of 10 or a minimum of 70 % of marks. Candidates must have a valid GATE score to avail of an institute fellowship. However, candidates having industrial experience (PSU/MNC, Govt. undertaking) of at least five years may be exempted from mandatory valid GATE scores. Final year students are also eligible to apply, provided at the time of admission he/she should produce a final grade card failing which his/her admission will stand canceled."
955564,1586814,1066329,must have a valid GATE score to avail of an institute fellowship,143,207,,Who will get institute fellowship in Ph.D. Technology after B.Tech.?,,"Bachelor�s degree in Technology or equivalent in any discipline with a minimum CGPA of 7.5 out of 10 or a minimum of 70 % of marks. Candidates must have a valid GATE score to avail of an institute fellowship. However, candidates having industrial experience (PSU/MNC, Govt. undertaking) of at least five years may be exempted from mandatory valid GATE scores. Final year students are also eligible to apply, provided at the time of admission he/she should produce a final grade card failing which his/her ad"
955488,1586817,1066349,not entitled to receive any fellowship from the Institute,267,324,,Is Part-Time Candidates are receiving any scholarships? ,,"Part-Time candidates from industry, corporate, any Govt. organization, and faculty of recognized institutes should have at least two years of experience. In this regard, a No Objection Certificate (NOC) will be required from the present employer. Such candidates are not entitled to receive any fellowship from the Institute."
955615,1586816,1066345, first-class,409,421,,What class is required for Foreign National candidates in Ph.D.?,," Indian Council of Cultural Relations, Govt. of India, are eligible to apply provided that they possess the same minimum qualifications as Master�s Degree in Engineering/Technology in the relevant area of research along with a Bachelor�s Degree in an appropriate branch of Engineering/Technology with first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) at Master�s and Bachelor�s level. Master�s Degree in an appropriate branch of Science/Humanities/Social Sciences/Management with a first-class or minimum 60% marks (or CGPA of 6.5 on a 10-point scale or equivalent) or equivalen"
955507,1586822,1066383, The Dean (Academic) shall notify,720,753,,Who will notify the list of selected candidates? ,,"nd the names of candidates found suitable for admission to Ph.D. Program for the approval of the Chairman, Senate. At the same time, the committee will recommend the supervisor's name. Chairman Senate may select a few/ all candidates out of the recommended candidates by the interview Committee /DRC. The Dean (Academic) shall notify the list of selected candidates through appropriate means."
955626,1586833,1066437,36 months for all categories of Ph.D. students (enrolled with a P.G. degree),183,259,,What is the minimum period for submission of a thesis for Ph.D. students (enrolled with a P.G. degree)?,,"The minimum period of completion of coursework is 1(one) semester from the date of registration for all categories of Ph.D. students. The minimum period of thesis submission shall be 36 months for all categories of Ph.D. students (enrolled with a P.G. degree) and 48 months (enrolled with a B.E/B. Tech degree) from the date of registration. However, the maximum period of submission should not exceed five years (enrolled with a P.G. degree) and seven years (enrolled with a B.E/B. Tech degree) from the date of registration. Delay beyond the stipulated peri"
